family	genome.composition
Abyssoviridae	ssRNA(+)
Ackermannviridae	dsDNA
Adenoviridae	dsDNA
Adintoviridae	dsDNA
Aggregaviridae	dsDNA
Ahmunviridae	dsDNA
Ahpuchviridae	dsDNA
Aliceevansviridae	dsDNA
Aliusviridae	ssRNA(-)
Alloherpesviridae	dsDNA
Allomimiviridae	dsDNA
Alphaflexiviridae	ssRNA(+)
Alphasatellitidae	ssDNA
Alphatetraviridae	ssRNA(+)
Alternaviridae	dsRNA
Alvernaviridae	ssRNA(+)
Amalgaviridae	dsRNA
Amesuviridae	ssDNA(+/-)
Amnoonviridae	ssRNA(-)
Ampullaviridae	dsDNA
Anaerodiviridae	dsDNA
Anelloviridae	ssDNA(-)
Aoguangviridae	dsDNA
Arenaviridae	ssRNA
Arenbergviridae	dsDNA
Arteriviridae	ssRNA(+)
Artoviridae	ssRNA(-)
Ascoviridae	dsDNA
Asfarviridae	dsDNA
Aspiviridae	ssRNA(-)
Assiduviridae	dsDNA
Astroviridae	ssRNA(+)
Atkinsviridae	ssRNA(+)
Autographiviridae	dsDNA
Autolykiviridae	dsDNA
Avsunviroidae	ssRNA
Bacilladnaviridae	ssDNA
Baculoviridae	dsDNA
Barnaviridae	ssRNA(+)
Bartogtaviriformidae	dsDNA
Belpaoviridae	ssRNA-RT
Benyviridae	ssRNA(+)
Betaflexiviridae	ssRNA(+)
Bicaudaviridae	dsDNA
Bidnaviridae	ssDNA
Birnaviridae	dsRNA
Blumeviridae	ssRNA(+)
Bornaviridae	ssRNA(-)
Botourmiaviridae	ssRNA(+)
Brachygtaviriformidae	dsDNA
Bromoviridae	ssRNA(+)
Caliciviridae	ssRNA(+)
Carmotetraviridae	ssRNA(+)
Casjensviridae	dsDNA
Caulimoviridae	dsDNA+dsDNA-RT
Chaacviridae	dsDNA
Chaseviridae	dsDNA
Chrysoviridae	dsRNA
Chuviridae	ssRNA(-)
Circoviridae	ssDNA
Clavaviridae	dsDNA
Closteroviridae	ssRNA(+)
Coronaviridae	ssRNA(+)
Corticoviridae	dsDNA
Cremegaviridae	ssRNA(+)
Crepuscuviridae	ssRNA(-)
Crevaviridae	dsDNA
Cruliviridae	ssRNA(-)
Curvulaviridae	dsRNA
Cystoviridae	dsRNA
Deltaflexiviridae	ssRNA(+)
Demerecviridae	dsDNA
Dicistroviridae	ssRNA(+)
Discoviridae	ssRNA(-)
Drexlerviridae	dsDNA
Druskaviridae	dsDNA
Duinviridae	ssRNA(+)
Duneviridae	dsDNA
Ekchuahviridae	dsDNA
Endornaviridae	ssRNA(+)
Euroniviridae	ssRNA(+)
Fervensviridae	dsDNA
Fiersviridae	ssRNA(+)
Filoviridae	ssRNA(-)
Fimoviridae	ssRNA(-)
Finnlakeviridae	ssDNA
Flaviviridae	ssRNA(+)
Forsetiviridae	dsDNA
Fredfastierviridae	dsDNA
Fusariviridae	ssRNA(+)
Fuselloviridae	dsDNA
Gammaflexiviridae	ssRNA(+)
Geminiviridae	ssDNA
Genomoviridae	ssDNA
Globuloviridae	dsDNA
Graaviviridae	dsDNA
Gresnaviridae	ssRNA(+)
Grimontviridae	dsDNA
Guelinviridae	dsDNA
Guttaviridae	dsDNA
Hadakaviridae	ssRNA(+)
Hafunaviridae	dsDNA
Haloferuviridae	dsDNA
Halomagnusviridae	dsDNA
Halspiviridae	dsDNA
Hantaviridae	ssRNA(-)
Helgolandviridae	dsDNA
Hepadnaviridae	dsDNA-RT
Hepeviridae	ssRNA(+)
Herelleviridae	dsDNA
Hypoviridae	ssRNA
Hytrosaviridae	dsDNA
Iflaviridae	ssRNA(+)
Inoviridae	ssDNA
Intestiviridae	dsDNA
Iridoviridae	dsDNA
Itzamnaviridae	dsDNA
Kitaviridae	ssRNA(+)
Kleczkowskaviridae	dsDNA
Kolmioviridae	ssRNA(-)
Kyanoviridae	dsDNA
Lavidaviridae	dsDNA
Leishbuviridae	ssRNA(-)
Leisingerviridae	dsDNA
Lipothrixviridae	dsDNA
Lispiviridae	ssRNA(-)
Madisaviridae	dsDNA
Malacoherpesviridae	dsDNA
Mamonoviridae	dsDNA
Marnaviridae	ssRNA(+)
