genus	host.source
Aalivirus	vertebrates
Aarhusvirus	bacteria
Abaiavirus	bacteria
Abakapovirus	bacteria
Abbeymikolonvirus	bacteria
Aberdnavirus	marine (S)
Abidjanvirus	bacteria
Abouovirus	bacteria
Acadevirus	bacteria
Acadianvirus	bacteria
Acajnonavirus	bacteria
Acanvirus	bacteria
Achlievirus	bacteria
Acionnavirus	bacteria
Acridvirus	invertebrates
Actinovirus	vertebrates
Adahivirus	bacteria
Adahmuvirus	bacteria
Adaiavirus	bacteria
Aegirvirus	bacteria
Aerosvirus	bacteria
Affertcholeramvirus	bacteria
Afonbuvirus	bacteria
Agatevirus	bacteria
Ageyesisatellite	plants
Aghbyvirus	bacteria
Agmunavirus	bacteria
Agnathovirus	vertebrates
Agricanvirus	bacteria
Agtrevirus	bacteria
Aguilavirus	bacteria
Ahduovirus	bacteria
Ahphunavirus	bacteria
Ahtivirus	bacteria
Ailurivirus	vertebrates
Akihdevirus	bacteria
Akiravirus	bacteria
Akonivirus	bacteria
Alachuavirus	bacteria
Alasvirus	invertebrates
Albetovirus	plants
Alcyoneusvirus	bacteria
Aldhiuvirus	bacteria
Alefpapillomavirus	vertebrates
Alegriavirus	bacteria
Alehndavirus	bacteria
Alehxovirus	bacteria
Aleptorquevirus	vertebrates
Alexandravirus	bacteria
Aleyavirus	invertebrates
Aleybvirus	invertebrates
Alfamovirus	plants
Alisovirus	bacteria
Allexivirus	plants
Almendravirus	invertebrates
Alohrdovirus	bacteria
Alphaabyssovirus	invertebrates
Alphaarterivirus	vertebrates
Alphabaculovirus	invertebrates
Alphacarmotetravirus	invertebrates
Alphacarmovirus	plants
Alphachrysovirus	fungi+invertebrates (S)+plants (S)
Alphacoronavirus	vertebrates
Alphacrustrhavirus	invertebrates
Alphadintovirus	invertebrates
Alphadrosrhavirus	invertebrates
Alphaendornavirus	fungi+plants+protists
Alphaentomopoxvirus	invertebrates
Alphafusarivirus	algae+fungi
Alphafusellovirus	archaea
Alphaglobulovirus	archaea
Alphahymrhavirus	invertebrates
Alphahypovirus	fungi+invertebrates
Alphainfluenzavirus	vertebrates
Alphaletovirus	vertebrates
Alphalipothrixvirus	archaea
Alphamesonivirus	invertebrates
Alphamononivirus	invertebrates
Alphanecrovirus	plants
Alphanemrhavirus	invertebrates+vertebrates
Alphanodavirus	invertebrates
Alphanucleorhabdovirus	plants
Alphanudivirus	invertebrates
Alphaovalivirus	archaea
Alphapapillomavirus	vertebrates
Alphapaprhavirus	invertebrates
Alphapartitivirus	fungi+plants
Alphapermutotetravirus	invertebrates
Alphapironavirus	vertebrates
Alphapleolipovirus	archaea
Alphapolyomavirus	vertebrates
Alphaportoglobovirus	archaea
Alpharetrovirus	vertebrates
Alpharicinrhavirus	invertebrates
Alphasphaerolipovirus	archaea
Alphaspiravirus	archaea
Alphatectivirus	bacteria
Alphatorquevirus	vertebrates
Alphatrevirus	bacteria
Alphatristromavirus	archaea
Alphaturrivirus	archaea
Alphavirus	invertebrates+vertebrates
Alphayadokarivirus	fungi
Alternavirus	fungi
Amalgavirus	plants
Amdoparvovirus	vertebrates
Amginevirus	bacteria
Amigovirus	bacteria
Aminayvirus	bacteria
Amoyvirus	bacteria
Ampelovirus	plants
